post_id,user_type,content_type,caption,likes,comments,shares
224,student,text,Loved this!,68,45,48
225,foodie,text,Could be better,190,89,10
226,traveler,text,Feeling awesome,286,89,18
227,student,video,Could be better,757,79,41
228,developer,image,Loved this!,496,70,51
229,student,text,Not so great,127,63,32
230,student,image,Loved this!,370,40,29
231,influencer,video,Amazing experience!,611,174,131
232,foodie,story,Highly recommended,229,49,17
233,developer,reel,Loved this!,956,117,123
234,influencer,text,Check this out!,252,21,44
235,foodie,reel,Amazing experience!,405,66,70
236,developer,image,What a day!,365,144,95
237,developer,story,Could be better,208,28,26
238,developer,story,Feeling awesome,279,85,41
239,student,video,Not so great,952,246,60
240,influencer,text,Loved this!,206,77,24
241,traveler,story,Feeling awesome,160,66,25
242,traveler,story,Amazing experience!,238,13,35
243,traveler,reel,Highly recommended,508,73,42
244,traveler,video,Check this out!,866,81,87
245,influencer,video,Amazing experience!,653,292,42
246,fitness,reel,Feeling awesome,212,66,192
247,developer,text,Must watch!,276,51,44
248,traveler,video,Could be better,648,154,55
249,foodie,story,Loved this!,183,68,30
250,fitness,image,Not so great,186,85,53
251,foodie,video,What a day!,797,240,165
252,traveler,text,Feeling awesome,71,13,12
253,fitness,story,Loved this!,203,95,24
254,fitness,image,Amazing experience!,338,59,53
255,foodie,reel,Not so great,288,96,170
256,developer,video,Loved this!,985,251,179
257,developer,reel,Could be better,527,261,184
258,foodie,story,Loved this!,249,17,21
259,traveler,text,Check this out!,170,26,15
260,developer,video,Could be better,346,279,58
261,foodie,reel,Highly recommended,885,58,150
262,fitness,text,Feeling awesome,162,86,49
263,traveler,story,Highly recommended,67,49,39
264,student,story,Feeling awesome,94,28,7
265,developer,reel,Check this out!,687,277,121
266,student,reel,Must watch!,685,112,114
267,developer,reel,Loved this!,497,64,157
268,traveler,reel,What a day!,717,100,62
269,student,story,Loved this!,72,29,17
270,student,reel,Loved this!,425,103,85
271,developer,image,What a day!,389,131,69
272,fitness,video,Could be better,815,64,125
273,developer,reel,Could be better,435,215,133
274,foodie,image,Amazing experience!,499,118,34
275,student,reel,Must watch!,521,242,33
276,fitness,reel,Could be better,227,120,47
277,fitness,text,What a day!,238,12,16
278,student,video,Feeling awesome,846,262,184
279,traveler,image,Loved this!,160,141,10
280,influencer,text,Highly recommended,283,36,34
281,developer,text,Check this out!,281,91,27
282,fitness,image,Must watch!,340,83,98
283,developer,text,Must watch!,68,19,27
284,traveler,image,Must watch!,469,117,57
285,foodie,video,Loved this!,224,257,124
286,traveler,reel,Must watch!,977,114,147
287,foodie,text,Highly recommended,252,86,15
288,foodie,text,Could be better,294,49,30
289,student,reel,Check this out!,637,177,93
290,traveler,video,Check this out!,435,93,91
291,traveler,image,Could be better,473,36,87
292,student,image,Must watch!,324,92,32
293,traveler,reel,Not so great,209,204,67
294,foodie,video,Feeling awesome,936,216,200
295,student,text,Amazing experience!,84,54,24
296,fitness,video,Must watch!,961,244,33
297,foodie,image,Feeling awesome,171,55,68
298,student,reel,Highly recommended,262,220,172
299,student,image,Could be better,280,141,13
300,influencer,story,Loved this!,109,15,33
301,influencer,story,Not so great,103,94,8
302,fitness,video,Loved this!,819,210,122
303,influencer,image,Loved this!,308,27,80
304,developer,text,Feeling awesome,172,55,49
305,foodie,reel,Could be better,419,105,126
306,developer,story,Could be better,78,47,19
307,student,video,What a day!,584,80,146
308,influencer,image,Amazing experience!,476,93,15
309,developer,image,Amazing experience!,498,149,15
310,student,reel,Highly recommended,668,195,136
311,traveler,text,Could be better,274,91,31
312,traveler,video,Must watch!,399,250,88
313,student,video,Not so great,897,166,81
314,foodie,text,Loved this!,155,86,36
315,student,video,Must watch!,868,268,152
316,traveler,video,Amazing experience!,648,227,182
317,traveler,video,Must watch!,686,135,20
318,developer,text,What a day!,259,32,34
319,fitness,video,Loved this!,696,287,118
320,traveler,story,Must watch!,167,85,46
321,fitness,image,Must watch!,330,76,48
322,developer,image,Amazing experience!,140,63,86
323,fitness,text,Check this out!,232,63,26
324,student,image,Not so great,282,134,56
325,influencer,image,Check this out!,166,83,49
326,developer,image,Could be better,376,41,71
327,fitness,reel,Feeling awesome,204,63,67
328,traveler,image,What a day!,500,39,86
329,foodie,story,Must watch!,296,68,6
330,student,story,What a day!,122,75,27
331,foodie,text,Check this out!,106,35,44
332,influencer,text,Feeling awesome,101,31,44
333,traveler,story,Check this out!,287,77,25
334,influencer,story,Not so great,152,24,46
335,student,reel,Must watch!,620,92,105
336,fitness,video,Must watch!,459,112,87
337,fitness,text,Highly recommended,133,40,45
338,student,image,Must watch!,206,59,71
339,student,video,Loved this!,347,190,57
340,foodie,image,Feeling awesome,203,88,70
341,influencer,reel,Feeling awesome,708,96,71
342,fitness,video,Highly recommended,548,182,169
343,fitness,image,Check this out!,288,51,22
344,traveler,image,Not so great,340,23,42
345,student,text,Loved this!,94,38,14
346,traveler,text,Loved this!,283,23,46
347,influencer,video,Check this out!,888,118,186
348,student,reel,Feeling awesome,864,111,21
349,developer,story,Must watch!,293,70,47
350,developer,story,Check this out!,282,32,28
351,student,video,Could be better,665,90,110
352,influencer,text,Feeling awesome,188,100,27
353,traveler,video,Feeling awesome,727,230,112
354,traveler,reel,Could be better,707,227,178
355,developer,image,Feeling awesome,491,139,70
356,foodie,video,Must watch!,751,139,113
357,student,image,Must watch!,164,37,26
358,influencer,story,What a day!,215,95,14
359,influencer,reel,Could be better,920,85,50
360,fitness,reel,Amazing experience!,633,124,170
361,fitness,text,Amazing experience!,269,96,8
362,student,reel,Feeling awesome,622,98,162
363,influencer,story,Loved this!,57,18,14
364,fitness,video,Check this out!,234,54,72
365,traveler,reel,Check this out!,934,146,146
366,fitness,video,Not so great,562,89,74
367,fitness,story,Could be better,242,24,12
368,traveler,text,Loved this!,111,33,11
369,influencer,video,Feeling awesome,722,290,108
370,developer,story,Highly recommended,165,37,24
371,fitness,text,Could be better,68,62,49
372,traveler,story,What a day!,55,26,21
373,influencer,image,Loved this!,122,142,13
374,influencer,image,Must watch!,313,67,61
375,fitness,reel,What a day!,476,51,128
376,developer,video,Could be better,888,167,191
377,developer,story,Check this out!,232,69,15
378,influencer,text,Not so great,163,62,30
379,influencer,story,Loved this!,172,90,31
380,fitness,text,Loved this!,242,87,16
381,foodie,reel,Must watch!,786,55,78
382,fitness,story,What a day!,187,28,50
383,influencer,text,Loved this!,159,79,15
384,developer,video,Check this out!,206,115,97
385,traveler,video,Amazing experience!,822,227,117
386,traveler,image,Loved this!,258,138,71
387,foodie,image,Check this out!,221,131,14
388,traveler,text,What a day!,245,87,36
389,foodie,story,Check this out!,264,57,28
390,developer,story,Could be better,70,58,12
391,traveler,text,Check this out!,206,89,13
392,foodie,text,Loved this!,274,74,47
393,foodie,text,Loved this!,85,19,14
394,fitness,image,Loved this!,168,85,13
395,student,video,What a day!,727,233,171
396,student,reel,What a day!,706,108,92
397,foodie,text,Highly recommended,203,43,46
398,influencer,story,Could be better,292,42,21
399,student,image,Loved this!,310,113,29
400,influencer,image,Not so great,422,43,98
401,foodie,reel,Feeling awesome,934,118,143
402,developer,story,Must watch!,118,76,10
403,developer,story,Not so great,211,96,42
404,student,reel,Must watch!,856,238,106
405,traveler,text,Amazing experience!,236,44,47
406,foodie,text,Must watch!,158,84,6
407,foodie,video,What a day!,240,259,64
408,influencer,story,Check this out!,143,67,20
409,foodie,video,Amazing experience!,603,128,119
410,student,image,Check this out!,473,94,36
411,student,video,Could be better,825,178,112
412,traveler,text,Check this out!,298,47,21
413,developer,reel,Amazing experience!,701,94,89
414,foodie,story,Must watch!,259,33,46
415,foodie,story,Feeling awesome,99,15,34
416,fitness,text,What a day!,162,100,18
417,student,reel,Amazing experience!,801,246,168
418,fitness,image,Highly recommended,454,83,68
419,traveler,story,Check this out!,233,79,7
420,developer,reel,Loved this!,441,223,176
421,foodie,story,Not so great,119,47,43
422,influencer,reel,Not so great,696,266,148
423,developer,story,Feeling awesome,194,29,10
424,traveler,video,What a day!,822,237,112
425,fitness,reel,Could be better,766,122,115
426,foodie,reel,What a day!,273,212,28
427,traveler,reel,Could be better,387,53,153
428,student,video,Highly recommended,203,270,43
429,fitness,story,Loved this!,85,91,43
430,foodie,text,Must watch!,262,28,6
431,foodie,text,Highly recommended,248,23,26
432,foodie,text,Loved this!,247,18,34
433,foodie,image,What a day!,347,66,88
434,student,story,Loved this!,282,39,17
435,student,video,What a day!,515,214,192
436,student,image,Check this out!,496,129,22
437,foodie,image,Must watch!,146,61,19
438,fitness,story,Highly recommended,71,82,42
439,influencer,video,Highly recommended,689,82,109
440,fitness,reel,What a day!,891,133,187
441,foodie,text,Amazing experience!,153,43,45
442,student,video,Loved this!,583,226,37
443,student,text,Could be better,249,83,31
444,student,text,Feeling awesome,147,61,27
445,foodie,video,Check this out!,920,286,48
446,fitness,text,Amazing experience!,219,71,28
447,fitness,video,Could be better,209,273,115
448,developer,reel,Loved this!,248,83,153
449,fitness,image,What a day!,190,135,20
450,influencer,text,Loved this!,234,37,42
451,fitness,video,Not so great,698,121,170
452,developer,image,Feeling awesome,347,112,49
453,traveler,reel,Loved this!,470,98,150
454,student,image,Must watch!,385,38,22
455,student,text,What a day!,179,33,41
456,fitness,reel,Feeling awesome,574,227,103
457,traveler,reel,What a day!,824,243,190
458,foodie,image,Not so great,305,46,27
459,fitness,text,Feeling awesome,220,97,24
460,student,story,Check this out!,132,29,7
461,foodie,image,Must watch!,274,109,61
462,fitness,story,What a day!,135,90,34
463,student,reel,Check this out!,606,135,27
464,developer,image,Not so great,365,79,57
465,traveler,image,Check this out!,265,75,98
466,traveler,image,Amazing experience!,185,83,99
467,fitness,text,Highly recommended,67,66,28
468,influencer,text,Check this out!,121,35,32
469,developer,reel,Not so great,392,219,192
470,traveler,video,What a day!,207,213,133
471,influencer,video,Amazing experience!,895,146,55
472,foodie,image,Loved this!,196,114,73
473,fitness,text,Amazing experience!,146,90,18
474,traveler,video,Not so great,880,138,24
475,traveler,video,Loved this!,830,124,88
476,traveler,video,Not so great,536,167,29
477,foodie,text,Feeling awesome,180,32,12
478,foodie,story,Highly recommended,103,26,38
479,foodie,image,Loved this!,358,99,94
480,foodie,image,Check this out!,271,113,80
481,foodie,video,Must watch!,813,62,131
482,traveler,video,Amazing experience!,357,209,92
483,traveler,text,Loved this!,54,10,5
484,foodie,video,Could be better,993,191,26
485,developer,image,Must watch!,313,55,52
486,developer,video,Not so great,228,267,119
487,influencer,reel,Not so great,345,221,53
488,fitness,text,What a day!,250,38,5
489,influencer,text,Must watch!,236,89,42
490,fitness,text,Must watch!,227,92,5
491,developer,video,Check this out!,380,224,155
492,student,video,Must watch!,304,271,75
493,influencer,video,Feeling awesome,489,227,43
494,traveler,text,Amazing experience!,114,59,14
495,student,image,Highly recommended,183,113,49
496,traveler,image,Amazing experience!,119,29,46
497,fitness,reel,Check this out!,387,267,65
498,developer,video,Check this out!,492,55,103
499,fitness,video,What a day!,919,93,54
500,foodie,image,Not so great,276,119,80
501,developer,story,What a day!,142,21,18
502,student,video,Highly recommended,751,157,91
503,traveler,image,Not so great,383,77,18
504,fitness,story,Amazing experience!,260,35,36
505,foodie,text,Feeling awesome,104,70,28
506,traveler,video,Feeling awesome,447,249,156
507,student,story,Check this out!,91,26,14
508,foodie,reel,Amazing experience!,476,291,33
509,fitness,image,Could be better,368,138,44
510,influencer,image,Not so great,206,57,95
511,influencer,story,Amazing experience!,231,75,24
512,student,reel,Check this out!,235,81,164
513,foodie,story,What a day!,196,50,45
514,traveler,video,Not so great,773,54,114
515,traveler,reel,Check this out!,704,235,148
516,developer,image,Not so great,344,150,89
517,traveler,text,What a day!,124,71,8
518,influencer,text,Highly recommended,168,74,15
519,influencer,image,What a day!,368,61,95
520,traveler,story,Loved this!,227,72,46
521,traveler,image,Could be better,174,135,50
522,developer,video,What a day!,593,173,94
523,student,text,What a day!,167,36,41
524,foodie,text,Feeling awesome,102,67,41
525,developer,reel,What a day!,678,190,102
526,student,story,Check this out!,184,60,25
527,foodie,video,Check this out!,559,130,63
528,traveler,reel,Not so great,316,274,189
529,traveler,reel,What a day!,950,98,24
530,foodie,reel,Not so great,477,114,34
531,student,story,Feeling awesome,218,11,26
532,traveler,video,Feeling awesome,665,168,95
533,foodie,image,Check this out!,323,107,75
534,traveler,image,Could be better,285,112,67
535,foodie,image,Amazing experience!,167,81,97
536,traveler,image,Loved this!,232,109,23
537,traveler,reel,Not so great,407,259,55
538,student,reel,Not so great,873,194,130
539,student,story,Amazing experience!,222,71,33
540,influencer,image,Amazing experience!,387,105,68
541,student,video,What a day!,960,152,20
542,fitness,text,Highly recommended,154,30,40
543,traveler,video,Amazing experience!,308,134,35
544,foodie,story,What a day!,192,32,45
545,influencer,image,Not so great,374,120,25
546,developer,reel,What a day!,675,80,139
547,developer,video,Feeling awesome,486,221,22
548,traveler,reel,Check this out!,284,222,136
549,developer,image,Loved this!,109,106,24
550,student,text,Must watch!,190,63,10
551,fitness,text,What a day!,232,58,32
552,influencer,video,Check this out!,411,223,56
553,influencer,reel,Could be better,247,297,74
554,fitness,story,Not so great,273,61,16
555,influencer,text,Feeling awesome,184,27,44
556,influencer,image,What a day!,272,128,70
557,traveler,video,Not so great,336,59,49
558,influencer,text,Amazing experience!,68,99,33
559,foodie,story,Could be better,271,93,20
560,student,video,Not so great,828,101,161
561,traveler,story,Feeling awesome,299,25,6
562,student,image,What a day!,413,140,50
563,foodie,text,Could be better,116,85,48
564,traveler,text,Check this out!,285,100,19
565,developer,image,Check this out!,330,134,54
566,foodie,image,Loved this!,488,43,52
567,student,story,Must watch!,147,29,37
568,traveler,image,Must watch!,191,56,60
569,influencer,story,Check this out!,214,80,16
570,student,story,Check this out!,226,29,13
571,student,reel,Check this out!,649,278,65
572,influencer,text,Check this out!,257,58,47
573,foodie,text,Highly recommended,88,16,25
574,foodie,story,Highly recommended,210,73,46
575,traveler,image,Check this out!,485,48,16
576,developer,video,Could be better,802,228,109
577,foodie,video,Must watch!,965,77,109
578,developer,video,Must watch!,481,103,151
579,developer,video,Amazing experience!,734,198,56
580,foodie,video,Must watch!,603,169,73
581,developer,video,Must watch!,382,97,144
582,influencer,video,Feeling awesome,758,147,125
583,influencer,text,Could be better,103,13,17
584,fitness,text,Highly recommended,52,36,50
585,influencer,reel,Must watch!,712,293,29
586,foodie,story,Not so great,299,28,8
587,student,video,Feeling awesome,345,187,125
588,student,story,Highly recommended,164,44,24
589,fitness,story,Check this out!,234,81,16
590,fitness,story,Must watch!,168,29,32
591,foodie,reel,Loved this!,692,180,191
592,developer,image,Check this out!,291,134,84
593,student,reel,Highly recommended,880,237,188
594,student,video,Check this out!,937,179,128
595,fitness,story,Check this out!,186,87,15
596,developer,video,Loved this!,584,237,162
597,traveler,reel,Must watch!,799,263,152
598,foodie,text,Check this out!,198,33,49
599,influencer,story,Must watch!,145,57,49
600,influencer,image,Not so great,248,34,92
601,student,reel,What a day!,704,242,142
602,fitness,story,Must watch!,193,72,36
603,traveler,video,Not so great,784,165,31
604,traveler,video,Loved this!,494,107,89
605,fitness,reel,Amazing experience!,787,76,198
606,traveler,reel,Feeling awesome,754,239,80
607,student,text,Not so great,239,35,11
608,developer,image,Feeling awesome,464,116,39
609,influencer,reel,Not so great,326,98,154
610,foodie,video,Must watch!,229,268,198
611,developer,image,Loved this!,138,96,39
612,traveler,text,Not so great,64,46,47
613,student,reel,Check this out!,604,102,199
614,foodie,image,Amazing experience!,252,121,47
615,student,reel,Amazing experience!,798,266,178
616,foodie,video,Not so great,632,212,102
617,foodie,reel,Feeling awesome,506,78,88
618,student,text,Loved this!,291,41,17
619,foodie,image,Feeling awesome,175,35,94
620,developer,video,What a day!,384,70,157
621,influencer,reel,Amazing experience!,566,164,136
622,foodie,image,Must watch!,344,34,57
623,student,story,Feeling awesome,247,28,10
624,influencer,video,Not so great,812,77,119
625,traveler,reel,Amazing experience!,588,135,106
626,fitness,text,Highly recommended,255,95,26
627,foodie,story,Not so great,230,48,7
628,developer,text,Check this out!,105,43,15
629,foodie,video,What a day!,778,88,55
630,student,image,Must watch!,442,46,31
631,student,text,Amazing experience!,221,83,41
632,student,image,Check this out!,334,47,38
633,student,image,Highly recommended,250,51,60
634,fitness,image,Loved this!,238,64,84
635,student,image,Highly recommended,287,90,37
636,foodie,story,Must watch!,198,59,42
637,fitness,text,Amazing experience!,73,81,14
638,foodie,video,Could be better,206,217,144
639,developer,reel,Feeling awesome,239,280,111
640,traveler,reel,Could be better,534,97,62
641,influencer,reel,Loved this!,493,246,188
642,developer,image,Must watch!,324,62,56
643,foodie,story,What a day!,94,74,40
644,foodie,video,Check this out!,433,263,84
645,foodie,video,Not so great,430,281,49
646,traveler,text,Feeling awesome,300,42,13
647,developer,image,Feeling awesome,321,52,47
648,student,text,Could be better,114,88,42
649,influencer,story,Check this out!,277,52,35
650,foodie,image,Not so great,350,111,58
651,traveler,video,Could be better,480,145,158
652,traveler,reel,Amazing experience!,750,111,113
653,fitness,video,Not so great,560,92,125
654,traveler,story,Could be better,118,12,42
655,student,video,Not so great,617,198,86
656,developer,video,What a day!,655,190,134
657,traveler,video,Not so great,655,223,33
658,influencer,text,Could be better,153,17,42
659,student,text,Not so great,154,26,26
660,influencer,reel,Must watch!,532,74,132
661,fitness,video,What a day!,941,181,67
662,fitness,story,Highly recommended,223,81,31
663,student,story,Could be better,184,95,5
664,foodie,story,Not so great,157,37,8
665,traveler,reel,Highly recommended,315,132,48
666,fitness,reel,Must watch!,897,109,119
667,fitness,image,Feeling awesome,250,21,33
668,student,image,Feeling awesome,338,27,44
669,student,reel,Check this out!,887,255,64
670,student,story,Check this out!,89,73,9
671,influencer,video,Amazing experience!,572,159,135
672,foodie,image,Feeling awesome,323,91,63
673,developer,image,Check this out!,303,126,61
674,fitness,image,Not so great,322,66,19
675,developer,image,Not so great,261,66,28
676,developer,image,Not so great,132,145,36
677,foodie,video,Check this out!,980,233,71
678,fitness,image,Could be better,255,110,73
679,influencer,reel,Highly recommended,350,286,128
680,student,image,Feeling awesome,336,89,41
681,fitness,video,Amazing experience!,513,148,22
682,foodie,image,Check this out!,222,74,75
683,fitness,text,Feeling awesome,140,89,33
684,influencer,video,Loved this!,509,165,177
685,fitness,video,Not so great,397,191,54
686,student,video,Feeling awesome,351,95,174
687,fitness,text,Feeling awesome,285,71,25
688,foodie,video,Must watch!,426,247,49
689,traveler,reel,Loved this!,808,190,59
690,traveler,reel,Highly recommended,575,126,29
691,developer,reel,Could be better,239,93,159
692,traveler,text,Highly recommended,272,86,41
693,student,story,Feeling awesome,66,58,19
694,developer,story,Check this out!,265,29,42
695,traveler,text,Amazing experience!,297,31,12
696,fitness,reel,Loved this!,849,222,172
697,fitness,text,Check this out!,211,24,25
698,developer,video,Check this out!,783,141,161
699,influencer,reel,Could be better,702,284,112
700,influencer,image,Feeling awesome,114,85,78
701,foodie,image,Highly recommended,414,55,89
