customer_id,age,city,category,purchase_amount,rating,discount
42,49,Pune,Electronics,4634.66,2.8,13.16
43,56,Mumbai,Sports,723.74,2.0,27.63
44,60,Chennai,Electronics,1561.84,2.3,40.65
45,26,Delhi,Grocery,3341.23,4.8,41.61
46,43,Delhi,Electronics,4498.23,1.5,40.93
47,45,Chennai,Grocery,2373.89,4.2,17.98
48,46,Mumbai,Electronics,3929.45,2.6,21.35
49,49,Bangalore,Sports,3298.91,3.1,31.24
50,57,Bangalore,Electronics,636.38,4.3,2.42
51,27,Delhi,Electronics,3624.35,1.1,34.32
52,35,Mumbai,Electronics,1597.84,3.2,2.46
53,19,Mumbai,Electronics,168.99,4.0,23.47
54,32,Bangalore,Grocery,667.6,1.9,26.72
55,47,Bangalore,Sports,3866.39,3.5,44.05
56,40,Bangalore,Electronics,4373.2,3.5,19.01
57,20,Pune,Clothing,2121.54,1.3,35.68
58,47,Delhi,Grocery,2353.21,2.8,30.32
59,41,Delhi,Sports,4517.08,1.2,25.43
60,19,Mumbai,Clothing,3211.02,4.4,42.18
61,47,Pune,Sports,1827.22,3.9,10.11
62,22,Mumbai,Clothing,626.89,3.5,20.61
63,23,Chennai,Electronics,1561.28,3.0,36.05
64,39,Delhi,Sports,4686.87,1.4,28.96
65,59,Bangalore,Grocery,2218.1,2.2,3.44
66,41,Chennai,Electronics,3735.81,2.0,34.66
67,26,Mumbai,Clothing,3007.71,2.6,47.95
68,57,Chennai,Clothing,4484.29,2.6,2.47
69,35,Delhi,Clothing,3614.59,1.5,17.55
70,58,Chennai,Clothing,540.94,1.9,48.86
71,43,Bangalore,Sports,1530.84,3.1,24.59
72,25,Delhi,Grocery,944.14,2.4,25.15
73,42,Pune,Grocery,1250.6,2.1,1.0
74,50,Pune,Clothing,1996.68,2.6,15.51
75,18,Bangalore,Grocery,4659.45,2.1,24.84
76,19,Chennai,Electronics,3894.02,4.7,25.17
77,18,Pune,Electronics,1123.74,2.9,1.26
78,37,Delhi,Sports,2318.86,1.8,47.57
79,42,Chennai,Sports,1348.58,4.5,28.86
80,57,Chennai,Sports,1517.33,3.2,21.55
81,53,Delhi,Grocery,3105.63,1.9,20.92
82,28,Pune,Electronics,4948.77,2.4,38.24
83,58,Pune,Electronics,1544.22,1.7,11.14
84,27,Chennai,Electronics,1381.02,2.9,36.71
85,27,Mumbai,Sports,1484.58,5.0,31.68
86,48,Mumbai,Grocery,492.8,2.0,3.06
87,31,Pune,Clothing,1063.93,2.2,35.67
88,60,Mumbai,Grocery,1332.51,1.6,43.49
89,29,Delhi,Sports,2326.68,4.8,26.49
90,43,Delhi,Sports,4906.17,4.9,8.04
91,43,Chennai,Grocery,2584.56,3.8,5.7
92,47,Mumbai,Grocery,4790.15,1.7,29.99
93,44,Mumbai,Sports,3750.04,2.4,30.24
94,50,Pune,Grocery,4968.29,2.1,49.5
95,49,Pune,Electronics,1593.84,3.5,44.48
96,27,Pune,Grocery,252.42,3.9,31.15
97,35,Mumbai,Sports,3025.18,3.8,10.74
98,44,Bangalore,Sports,2210.67,4.8,11.81
99,35,Mumbai,Clothing,3610.59,2.6,0.31
100,20,Delhi,Sports,4123.1,3.0,30.69
101,55,Pune,Clothing,873.7,2.2,11.27
102,18,Pune,Grocery,525.53,4.9,14.23
103,21,Bangalore,Electronics,655.57,2.0,38.77
104,24,Bangalore,Grocery,1066.11,4.9,30.24
105,20,Pune,Grocery,2971.73,4.3,32.64
106,26,Pune,Grocery,3015.23,4.3,6.88
107,45,Delhi,Electronics,4504.94,2.6,30.71
108,44,Mumbai,Sports,2166.43,4.0,15.08
109,21,Bangalore,Grocery,3258.75,3.6,18.16
110,50,Delhi,Grocery,2040.26,3.1,32.33
111,35,Bangalore,Grocery,3948.31,1.5,37.8
112,35,Delhi,Grocery,1884.39,2.8,25.42
113,59,Bangalore,Sports,1270.79,4.3,48.26
114,60,Pune,Clothing,4994.69,3.2,39.64
115,32,Bangalore,Clothing,3500.56,1.6,29.49
116,39,Mumbai,Grocery,2021.81,4.5,39.24
117,45,Pune,Grocery,4848.25,3.2,16.38
118,20,Delhi,Electronics,802.12,1.9,36.84
119,39,Mumbai,Electronics,4764.19,1.1,3.7
120,35,Pune,Grocery,1305.95,4.8,25.62
121,19,Bangalore,Electronics,2986.82,1.3,31.97
122,22,Bangalore,Electronics,3609.97,3.0,29.21
123,25,Bangalore,Electronics,2134.86,2.3,15.69
124,35,Delhi,Grocery,358.93,1.9,4.57
125,23,Pune,Grocery,2463.99,1.2,34.64
126,52,Pune,Sports,473.38,4.8,23.29
127,23,Bangalore,Sports,1101.22,2.1,25.61
128,41,Mumbai,Electronics,3151.53,4.0,0.49
129,58,Pune,Electronics,2777.42,3.0,40.65
130,26,Delhi,Clothing,4473.86,2.2,29.32
131,33,Mumbai,Clothing,325.84,4.8,25.24
132,34,Delhi,Grocery,2021.51,1.2,31.21
133,21,Chennai,Electronics,360.35,1.0,4.37
134,33,Pune,Grocery,4771.15,4.8,15.36
135,43,Bangalore,Grocery,202.38,1.7,37.81
136,49,Delhi,Grocery,432.72,4.8,37.73
137,37,Bangalore,Electronics,2191.93,4.8,3.67
138,57,Bangalore,Electronics,4394.7,1.4,20.76
139,34,Mumbai,Clothing,2113.93,3.9,47.15
140,29,Bangalore,Sports,1409.31,1.2,7.61
141,57,Bangalore,Grocery,1599.45,4.5,38.29
142,27,Chennai,Electronics,1183.88,4.5,0.03
143,58,Chennai,Sports,2832.44,1.6,6.57
144,25,Mumbai,Grocery,3332.98,2.0,38.18
145,36,Mumbai,Clothing,325.0,4.8,29.59
146,60,Chennai,Sports,4169.52,1.5,42.57
147,19,Bangalore,Grocery,2200.28,4.2,43.51
148,27,Pune,Sports,1836.14,2.7,10.01
149,24,Mumbai,Sports,3896.86,2.4,29.75
150,51,Chennai,Grocery,2191.4,3.5,10.98
151,57,Bangalore,Electronics,3199.32,1.4,26.69
152,58,Bangalore,Electronics,3029.32,4.0,23.44
153,35,Chennai,Sports,4839.83,4.7,31.45
154,38,Pune,Grocery,1762.3,2.1,8.33
155,20,Delhi,Sports,2107.7,3.7,35.62
156,59,Chennai,Electronics,4365.25,2.5,44.6
157,26,Bangalore,Electronics,214.79,4.8,35.79
158,23,Pune,Grocery,184.44,2.4,20.02
159,29,Delhi,Clothing,593.27,3.8,5.35
160,39,Delhi,Grocery,4643.14,1.7,19.8
161,29,Chennai,Grocery,253.63,1.3,12.77
162,42,Bangalore,Clothing,3371.7,2.2,43.26
163,60,Mumbai,Grocery,4914.03,3.6,10.29
164,47,Bangalore,Grocery,2910.38,4.9,8.76
165,46,Delhi,Clothing,2963.7,4.2,46.24
166,23,Bangalore,Sports,4467.85,1.1,40.82
167,60,Bangalore,Clothing,307.63,3.7,39.59
168,34,Mumbai,Electronics,4319.64,4.2,9.24
169,51,Delhi,Electronics,1097.35,1.1,4.26
170,40,Chennai,Grocery,2054.67,1.7,13.3
171,36,Bangalore,Grocery,3404.57,1.8,38.87
172,36,Chennai,Clothing,1086.01,3.1,24.63
173,59,Pune,Sports,2716.22,2.5,2.92
174,42,Mumbai,Sports,2784.68,2.6,46.99
175,46,Chennai,Clothing,3812.75,2.7,17.17
176,28,Chennai,Sports,2359.55,1.3,10.21
177,53,Bangalore,Grocery,877.95,2.8,42.27
178,34,Mumbai,Grocery,2190.51,2.5,3.84
179,43,Delhi,Clothing,3487.28,1.4,1.4
180,21,Bangalore,Sports,3625.1,2.9,25.11
181,58,Pune,Clothing,357.96,3.8,49.82
182,40,Pune,Sports,3271.37,1.8,42.67
183,29,Delhi,Electronics,4939.52,2.1,33.18
184,56,Bangalore,Grocery,2263.69,3.0,41.33
185,33,Pune,Grocery,2426.57,1.1,8.89
186,53,Chennai,Electronics,3656.68,3.1,48.64
187,23,Chennai,Grocery,4382.26,1.1,24.43
188,21,Mumbai,Sports,2650.06,1.8,13.51
189,55,Delhi,Clothing,3103.77,3.1,35.72
190,30,Pune,Clothing,1774.14,1.3,31.49
191,40,Delhi,Grocery,3022.75,2.2,3.81
192,18,Bangalore,Electronics,1590.16,2.7,32.64
193,33,Pune,Electronics,3329.33,2.4,28.97
194,39,Bangalore,Grocery,4751.86,1.8,46.1
195,36,Delhi,Electronics,4838.09,4.6,45.65
196,36,Mumbai,Clothing,2990.65,2.2,31.39
197,32,Mumbai,Grocery,3675.76,1.7,49.07
198,20,Bangalore,Sports,601.74,2.6,8.1
199,26,Mumbai,Electronics,2013.54,2.7,39.37
200,28,Pune,Clothing,4691.88,1.5,30.49
201,57,Delhi,Clothing,941.95,4.4,12.93
202,58,Pune,Electronics,4030.4,3.0,12.37
203,31,Delhi,Grocery,3784.08,2.1,32.22
204,51,Bangalore,Sports,3859.66,1.2,6.86
205,57,Chennai,Sports,3934.87,3.5,34.74
206,31,Bangalore,Grocery,2212.25,1.9,38.1
207,59,Chennai,Grocery,4283.3,1.0,35.32
208,56,Chennai,Clothing,635.36,1.4,46.64
209,19,Bangalore,Sports,3146.58,3.6,25.4
210,37,Bangalore,Sports,1819.15,1.2,37.11
211,57,Mumbai,Grocery,1683.8,1.2,36.93
212,23,Delhi,Grocery,4684.85,3.6,26.87
213,37,Pune,Grocery,1624.06,1.6,12.21
214,40,Chennai,Grocery,122.72,1.8,8.36
215,24,Delhi,Clothing,2979.05,4.9,17.29
216,58,Bangalore,Grocery,561.94,3.8,34.98
217,47,Pune,Electronics,1019.16,3.4,40.29
218,22,Mumbai,Grocery,3839.23,4.4,4.71
219,52,Delhi,Sports,1240.06,1.4,33.92
220,35,Delhi,Electronics,640.04,2.8,14.94
221,51,Chennai,Clothing,1182.7,3.2,49.64
222,50,Delhi,Sports,4674.24,2.7,2.28
223,27,Mumbai,Sports,1837.72,4.5,29.08
224,19,Chennai,Grocery,538.5,4.9,34.4
225,55,Bangalore,Clothing,1074.97,1.5,0.07
226,60,Chennai,Electronics,3442.5,3.6,25.16
227,47,Bangalore,Grocery,889.25,4.8,43.81
228,45,Mumbai,Electronics,1899.6,2.1,2.31
229,31,Pune,Sports,822.9,1.4,24.26
230,48,Bangalore,Electronics,3052.08,4.1,45.48
231,32,Chennai,Electronics,1930.75,1.2,21.84
232,59,Pune,Sports,2475.12,4.2,6.64
233,34,Chennai,Clothing,3639.62,4.6,24.37
234,35,Bangalore,Electronics,312.54,3.1,15.96
235,46,Delhi,Electronics,2166.92,4.4,27.72
236,38,Mumbai,Electronics,3933.31,2.8,18.46
237,26,Delhi,Electronics,2864.6,3.0,30.15
238,27,Delhi,Electronics,144.29,4.1,12.74
239,18,Pune,Sports,990.71,4.2,35.8
240,35,Chennai,Grocery,769.27,4.1,3.92
241,57,Chennai,Grocery,3928.52,2.1,1.48
242,57,Chennai,Clothing,3855.56,4.4,24.71
243,53,Pune,Grocery,4495.37,4.9,41.43
244,47,Chennai,Clothing,4466.39,2.6,17.6
245,27,Chennai,Clothing,4566.17,1.5,30.21
246,37,Delhi,Clothing,2534.72,3.0,6.83
247,31,Mumbai,Clothing,3731.5,1.5,5.3
248,48,Bangalore,Clothing,4070.25,2.3,27.33
249,27,Bangalore,Electronics,1453.93,4.4,6.6
250,24,Pune,Clothing,554.38,4.7,24.16
251,46,Pune,Grocery,2443.9,2.6,44.3
252,56,Pune,Sports,2406.35,2.8,47.22
253,31,Pune,Electronics,2175.95,3.6,47.46
254,29,Chennai,Electronics,4137.19,4.0,17.57
255,56,Pune,Sports,893.94,3.1,2.47
256,39,Bangalore,Electronics,1437.91,2.0,27.74
257,32,Bangalore,Grocery,4724.44,4.6,12.5
258,43,Bangalore,Grocery,2766.35,2.5,7.44
259,60,Pune,Sports,415.17,5.0,2.29
260,51,Bangalore,Clothing,1480.6,1.8,30.28
261,37,Mumbai,Sports,3312.84,4.0,15.53
262,49,Bangalore,Grocery,1805.06,2.4,46.26
263,41,Pune,Grocery,716.34,3.8,18.85
264,22,Delhi,Clothing,1517.55,3.8,14.25
265,47,Chennai,Grocery,2593.95,2.2,40.46
266,21,Chennai,Grocery,3123.57,2.7,36.36
267,24,Bangalore,Sports,1100.66,4.7,6.57
268,32,Bangalore,Electronics,345.71,3.1,45.95
269,26,Delhi,Clothing,1606.03,1.6,11.06
270,47,Delhi,Electronics,1565.4,2.9,34.57
271,29,Bangalore,Clothing,2883.29,1.5,33.24
272,39,Delhi,Grocery,446.76,3.7,0.42
273,44,Mumbai,Electronics,848.9,2.4,29.61
274,30,Delhi,Electronics,2080.95,3.9,16.99
275,26,Chennai,Sports,4598.07,2.2,16.72
276,31,Delhi,Sports,3701.43,1.2,31.37
277,55,Mumbai,Electronics,2351.57,1.7,9.11
278,48,Mumbai,Grocery,2988.07,2.4,7.9
279,50,Delhi,Sports,4064.2,1.7,1.49
280,26,Pune,Clothing,2294.75,4.9,32.13
281,19,Delhi,Sports,369.73,4.9,12.1
282,21,Chennai,Sports,3262.28,1.3,6.03
283,24,Pune,Sports,1555.33,2.5,13.63
284,58,Bangalore,Grocery,3519.27,5.0,16.33
285,30,Pune,Electronics,3452.64,4.5,33.27
286,39,Pune,Sports,1953.52,4.1,43.8
287,30,Pune,Clothing,2075.31,1.5,10.73
288,38,Chennai,Electronics,4234.6,5.0,15.83
289,29,Pune,Sports,542.92,4.4,2.47
290,29,Bangalore,Electronics,4882.6,4.1,28.11
291,54,Chennai,Clothing,1345.47,4.5,46.25
292,30,Mumbai,Sports,1505.98,2.7,16.13
293,22,Chennai,Grocery,3304.13,1.9,28.96
294,21,Pune,Sports,3021.62,2.5,20.64
295,27,Mumbai,Sports,2943.0,5.0,39.13
296,46,Bangalore,Grocery,224.68,3.8,26.6
297,25,Mumbai,Electronics,2041.89,4.6,44.45
298,24,Chennai,Electronics,3531.7,1.1,44.72
299,22,Delhi,Clothing,4952.25,1.5,34.64
300,35,Pune,Clothing,4321.64,2.1,40.74
301,18,Chennai,Clothing,663.58,3.7,9.28
302,25,Pune,Clothing,1676.5,3.3,40.45
303,49,Bangalore,Clothing,2541.29,3.9,37.2
304,38,Bangalore,Electronics,4705.61,4.0,25.23
305,42,Mumbai,Sports,4164.33,1.7,9.59
306,18,Bangalore,Grocery,1328.99,3.7,42.0
307,29,Bangalore,Clothing,159.82,3.8,38.59
308,23,Mumbai,Grocery,4661.05,2.7,12.4
309,56,Pune,Electronics,4873.55,3.4,12.57
310,46,Chennai,Electronics,2266.62,4.8,4.26
311,35,Mumbai,Sports,238.78,4.7,6.81
312,38,Chennai,Sports,145.31,1.2,16.75
313,55,Mumbai,Sports,752.96,4.1,16.79
314,51,Chennai,Sports,2866.97,2.9,5.71
315,60,Delhi,Clothing,4811.2,2.3,36.97
316,42,Bangalore,Clothing,1210.99,4.4,41.44
317,55,Pune,Grocery,2870.05,2.1,39.15
318,52,Delhi,Electronics,859.45,3.4,27.77
319,29,Bangalore,Electronics,4192.32,3.7,32.17
320,30,Mumbai,Sports,230.58,2.3,4.84
321,43,Chennai,Sports,1775.62,2.8,2.03
322,48,Delhi,Electronics,1961.94,2.2,10.41
323,36,Pune,Sports,546.91,2.1,15.24
324,28,Bangalore,Grocery,762.33,2.6,4.69
325,51,Delhi,Sports,4507.85,4.7,38.1
326,29,Bangalore,Sports,3752.78,4.0,33.1
327,24,Chennai,Clothing,2505.12,4.5,1.66
328,23,Chennai,Sports,2640.07,1.3,9.96
329,48,Chennai,Electronics,1624.75,3.1,7.92
330,49,Pune,Sports,1986.45,4.3,46.7
331,44,Chennai,Sports,930.81,2.7,42.66
332,48,Bangalore,Grocery,2523.06,4.0,43.04
333,52,Bangalore,Electronics,2666.58,4.7,18.33
334,33,Delhi,Electronics,1065.83,3.6,33.56
335,19,Delhi,Grocery,3855.83,2.0,17.47
336,50,Chennai,Sports,3499.3,1.6,2.04
337,47,Bangalore,Electronics,375.33,2.2,12.48
338,30,Pune,Sports,1380.47,1.1,36.47
339,56,Bangalore,Electronics,729.69,3.0,8.29
340,58,Delhi,Grocery,3118.17,1.6,46.13
341,24,Mumbai,Clothing,3150.67,1.2,19.67
342,59,Mumbai,Electronics,268.29,4.4,36.85
343,45,Delhi,Electronics,3085.02,3.9,6.6
344,47,Chennai,Sports,2273.64,3.9,1.34
345,37,Pune,Grocery,765.25,1.9,6.73
346,30,Pune,Sports,4371.3,1.6,47.27
347,53,Bangalore,Electronics,2162.3,2.0,5.23
348,27,Mumbai,Sports,337.62,1.2,36.43
349,47,Delhi,Sports,3119.99,5.0,20.64
350,43,Delhi,Sports,3448.87,4.6,2.38
351,50,Mumbai,Clothing,4718.95,2.1,7.46
352,37,Pune,Clothing,2549.33,1.6,10.6
353,60,Bangalore,Electronics,2281.15,4.3,33.03
354,38,Bangalore,Electronics,4216.75,2.8,31.54
355,31,Mumbai,Electronics,4830.58,4.4,14.94
356,47,Chennai,Clothing,3547.94,1.8,3.54
357,19,Delhi,Sports,4054.15,1.7,36.8
358,40,Bangalore,Grocery,1613.98,1.8,48.08
359,51,Chennai,Clothing,629.35,2.3,33.3
360,53,Bangalore,Electronics,1635.88,3.5,3.66
361,19,Mumbai,Grocery,417.19,1.9,35.23
362,42,Pune,Electronics,3011.69,1.8,42.77
363,28,Bangalore,Clothing,1597.23,3.0,19.24
364,28,Delhi,Grocery,2453.13,1.0,10.83
365,37,Delhi,Sports,2936.38,4.2,19.74
366,18,Mumbai,Clothing,4057.51,4.2,15.7
367,40,Mumbai,Sports,3950.05,1.8,32.46
368,39,Pune,Sports,1664.37,2.3,1.14
369,20,Bangalore,Sports,3737.56,1.1,34.27
370,53,Chennai,Electronics,2642.35,4.8,46.19
371,39,Chennai,Clothing,2934.96,2.2,26.17
372,26,Mumbai,Electronics,891.52,4.4,39.77
373,40,Mumbai,Clothing,3054.06,3.4,0.4
374,43,Chennai,Sports,2286.13,2.5,20.2
375,21,Delhi,Grocery,1403.14,2.3,39.51
376,41,Bangalore,Grocery,2571.05,3.4,9.11
377,48,Delhi,Clothing,3030.9,1.5,16.88
378,46,Chennai,Sports,4994.67,1.4,27.25
379,23,Delhi,Sports,310.76,2.2,4.52
380,27,Mumbai,Sports,2711.36,3.6,49.93
381,49,Bangalore,Grocery,1780.04,4.2,9.23
382,56,Chennai,Electronics,1455.41,4.4,44.04
383,41,Bangalore,Clothing,1776.38,4.9,3.77
384,36,Mumbai,Clothing,897.58,2.6,16.23
385,25,Pune,Clothing,3729.22,3.4,32.15
386,18,Chennai,Grocery,4169.68,4.1,37.7
387,52,Mumbai,Electronics,934.21,2.9,6.12
388,30,Delhi,Grocery,333.94,3.6,44.25
389,27,Bangalore,Grocery,365.28,4.8,17.4
390,39,Pune,Sports,1793.44,2.1,11.37
391,55,Mumbai,Clothing,3235.49,1.8,9.97
392,25,Chennai,Grocery,3454.49,3.6,10.41
393,52,Chennai,Grocery,680.34,4.6,13.2
394,39,Chennai,Grocery,4018.25,1.1,23.99
395,41,Mumbai,Clothing,3869.66,4.8,1.09
396,21,Chennai,Electronics,3793.66,1.2,14.7
397,36,Pune,Sports,3727.8,2.5,44.29
398,57,Delhi,Clothing,4978.23,2.6,24.36
399,29,Mumbai,Sports,2091.11,1.8,20.4
400,19,Pune,Sports,756.72,2.6,30.27
401,37,Bangalore,Grocery,2506.13,1.6,15.71
402,47,Delhi,Grocery,4533.29,4.6,19.41
403,54,Pune,Sports,1955.61,4.3,48.8
404,48,Delhi,Electronics,2409.61,3.0,23.17
405,31,Pune,Electronics,1100.46,3.3,18.35
406,30,Pune,Sports,3676.43,3.4,42.91
407,30,Chennai,Electronics,375.54,3.8,9.64
408,40,Pune,Sports,3714.7,4.3,11.69
409,33,Chennai,Electronics,1725.27,3.4,12.55
410,31,Delhi,Sports,2880.92,4.3,27.81
411,48,Pune,Clothing,4430.98,3.2,20.03
412,45,Bangalore,Sports,3358.47,2.8,10.37
413,52,Chennai,Grocery,4762.4,3.3,4.88
414,34,Bangalore,Clothing,1555.37,3.0,28.22
415,49,Pune,Clothing,2177.08,2.9,29.69
416,29,Delhi,Electronics,163.45,2.2,40.11
417,22,Delhi,Sports,4963.04,2.2,13.6
418,51,Delhi,Clothing,1927.55,4.9,47.16
419,39,Pune,Sports,598.3,4.5,23.1
420,33,Bangalore,Clothing,3032.14,1.2,19.51
421,31,Chennai,Sports,4651.19,4.8,15.35
422,53,Chennai,Clothing,1253.18,2.4,35.64
423,56,Mumbai,Grocery,2480.42,4.0,29.95
424,53,Bangalore,Clothing,2573.17,4.4,1.58
425,51,Bangalore,Clothing,2595.34,4.6,24.62
426,56,Bangalore,Grocery,640.55,3.1,25.64
427,19,Pune,Clothing,2537.46,1.6,49.87
428,54,Chennai,Clothing,3948.95,1.9,23.7
429,29,Pune,Electronics,628.77,3.9,17.02
430,31,Mumbai,Electronics,3247.6,1.2,42.73
431,34,Chennai,Sports,2973.25,1.6,28.54
432,19,Chennai,Sports,1968.3,3.6,47.72
433,24,Bangalore,Electronics,538.03,1.3,9.9
434,48,Pune,Grocery,2420.48,2.3,43.36
435,25,Pune,Clothing,2717.72,4.5,18.12
436,35,Chennai,Electronics,2235.41,3.7,15.09
437,18,Mumbai,Clothing,4092.97,4.8,45.36
438,58,Delhi,Sports,974.91,3.4,36.63
439,28,Bangalore,Electronics,2892.39,2.7,48.38
440,54,Mumbai,Sports,4045.36,2.2,39.07
441,24,Chennai,Electronics,2846.31,1.4,20.81
442,59,Chennai,Grocery,4108.26,2.4,17.96
443,47,Pune,Clothing,2213.94,2.1,6.83
444,25,Delhi,Grocery,173.62,2.3,47.45
445,30,Pune,Sports,1835.69,1.7,38.01
446,55,Bangalore,Grocery,3439.77,4.2,31.36
447,19,Chennai,Clothing,2716.56,1.0,44.23
448,50,Delhi,Electronics,3686.65,4.0,10.96
449,42,Chennai,Grocery,2846.2,3.7,28.34
450,45,Pune,Clothing,3481.33,1.7,21.67
451,43,Pune,Sports,1639.04,1.2,33.52
452,54,Pune,Grocery,219.74,1.9,45.64
453,41,Chennai,Grocery,3269.81,2.6,25.17
454,38,Bangalore,Grocery,1229.96,2.3,18.0
455,39,Pune,Clothing,239.54,2.1,38.1
456,51,Delhi,Electronics,2991.24,4.1,10.66
457,47,Delhi,Electronics,2342.45,1.4,26.61
458,35,Pune,Clothing,1945.18,4.7,30.97
459,58,Delhi,Clothing,847.16,2.2,12.99
460,35,Bangalore,Electronics,2364.19,1.6,14.25
461,37,Mumbai,Clothing,4588.43,2.9,10.27
462,24,Bangalore,Grocery,2837.21,4.8,13.22
463,23,Chennai,Electronics,2126.29,4.1,48.84
464,56,Delhi,Electronics,1778.22,2.5,26.94
465,56,Chennai,Electronics,2993.05,3.4,6.6
466,34,Mumbai,Grocery,2500.62,4.7,10.15
467,53,Chennai,Grocery,4404.46,2.8,11.32
468,27,Delhi,Grocery,839.92,1.1,26.51
469,56,Delhi,Electronics,1778.26,1.8,24.52
470,22,Pune,Clothing,3069.44,4.5,43.65
471,30,Delhi,Electronics,2666.48,3.0,24.9
472,46,Bangalore,Electronics,1010.36,3.3,16.0
473,24,Chennai,Sports,2054.03,3.5,36.58
474,59,Chennai,Electronics,2621.07,1.9,46.65
475,19,Chennai,Electronics,4308.13,4.2,48.91
476,30,Pune,Sports,790.46,2.4,17.22
477,29,Pune,Sports,3007.36,1.0,20.4
478,37,Pune,Electronics,1646.0,1.8,8.59
479,36,Mumbai,Clothing,4106.47,2.6,41.41
480,44,Delhi,Electronics,3789.6,3.5,41.29
481,27,Mumbai,Clothing,3082.87,3.2,30.69
482,60,Delhi,Sports,1647.82,2.3,20.83
483,34,Chennai,Clothing,1126.89,3.2,2.91
484,56,Mumbai,Electronics,764.14,3.0,41.96
485,27,Pune,Electronics,2246.64,3.7,43.62
486,30,Chennai,Grocery,2193.39,3.5,40.24
487,37,Delhi,Clothing,776.02,2.3,13.19
488,21,Chennai,Clothing,3361.83,4.7,19.46
489,20,Mumbai,Electronics,2771.23,4.4,31.5
490,37,Delhi,Electronics,3526.57,4.5,34.2
491,19,Mumbai,Electronics,376.66,5.0,0.92
492,21,Pune,Sports,842.92,1.6,30.97
493,33,Mumbai,Clothing,3753.3,3.4,2.88
494,43,Mumbai,Sports,3833.93,4.6,32.33
495,30,Delhi,Clothing,4018.23,3.0,36.54
496,34,Bangalore,Electronics,811.92,2.1,16.39
497,51,Pune,Electronics,2469.82,4.8,2.23
498,48,Delhi,Clothing,1063.78,4.7,5.34
499,46,Mumbai,Sports,3818.68,1.8,42.04
500,43,Chennai,Electronics,4008.28,1.8,19.52
501,56,Pune,Electronics,788.98,2.3,37.22
502,21,Pune,Sports,3732.84,4.6,23.45
503,44,Mumbai,Clothing,1862.02,4.9,35.24
504,25,Pune,Electronics,1325.14,2.1,33.32
505,19,Bangalore,Electronics,2151.26,1.9,44.87
506,24,Pune,Clothing,3363.03,2.5,19.25
507,36,Delhi,Sports,709.52,1.1,21.55
508,52,Delhi,Sports,4268.72,4.9,11.96
509,56,Pune,Clothing,1598.56,3.6,17.81
510,51,Chennai,Electronics,219.46,4.5,25.3
511,24,Chennai,Grocery,1120.07,1.3,16.36
512,23,Delhi,Sports,1715.18,2.1,38.77
513,58,Mumbai,Sports,1742.05,1.1,47.11
514,50,Chennai,Grocery,1629.4,3.3,25.47
515,29,Bangalore,Grocery,2688.92,4.4,7.05
516,25,Bangalore,Electronics,3884.24,3.8,47.56
517,47,Chennai,Electronics,3177.87,2.3,38.27
518,31,Mumbai,Grocery,1452.74,2.8,48.81
519,42,Chennai,Grocery,3622.61,4.7,28.7
520,56,Delhi,Electronics,3431.15,2.8,39.93
521,22,Delhi,Clothing,3021.41,4.9,24.04
