post_id,brand,user_type,post_text,likes,comments,shares
99,Puma,athlete,Puma bad quality,149,142,120
100,Puma,student,Puma average experience,305,79,56
101,Nike,student,Nike very disappointing,96,138,16
102,Nike,influencer,Nike nothing special,408,153,92
103,Adidas,student,Adidas love this brand,833,175,61
104,Nike,influencer,Nike average experience,407,90,140
105,Adidas,athlete,Adidas great quality,626,161,106
106,Puma,traveler,Puma average experience,387,171,23
107,Nike,traveler,Nike very comfortable,1079,45,77
108,Puma,traveler,Puma very disappointing,61,47,40
109,Adidas,influencer,Adidas average experience,332,17,19
110,Puma,influencer,Puma okay product,561,14,79
111,Puma,traveler,Puma amazing product,758,111,55
112,Nike,traveler,Nike average experience,228,52,86
113,Adidas,athlete,Adidas love this brand,1148,112,57
114,Adidas,student,Adidas love this brand,776,95,50
115,Puma,influencer,Puma average experience,331,180,48
116,Adidas,athlete,Adidas average experience,203,23,52
117,Nike,influencer,Nike love this brand,571,77,107
118,Nike,athlete,Nike great quality,1163,191,64
119,Puma,influencer,Puma okay product,558,88,141
120,Puma,influencer,Puma bad quality,54,166,87
121,Adidas,athlete,Adidas okay product,213,197,144
122,Adidas,student,Adidas not worth it,68,177,110
123,Puma,athlete,Puma love this brand,756,185,50
124,Nike,influencer,Nike not worth it,284,38,114
125,Puma,athlete,Puma average experience,372,189,98
126,Adidas,traveler,Adidas love this brand,1121,200,22
127,Adidas,traveler,Adidas not worth it,53,129,140
128,Puma,traveler,Puma nothing special,341,145,19
129,Adidas,student,Adidas not worth it,81,162,149
130,Nike,traveler,Nike poor experience,197,25,127
131,Adidas,athlete,Adidas nothing special,373,103,41
132,Nike,influencer,Nike okay product,243,99,54
133,Adidas,influencer,Adidas poor experience,272,100,77
134,Nike,student,Nike very comfortable,518,143,9
135,Adidas,student,Adidas great quality,500,38,28
136,Puma,student,Puma okay product,289,36,100
137,Adidas,athlete,Adidas not worth it,238,172,76
138,Puma,athlete,Puma poor experience,278,126,37
139,Nike,student,Nike very comfortable,1162,83,66
140,Puma,student,Puma okay product,455,130,83
141,Nike,athlete,Nike nothing special,278,62,131
142,Puma,influencer,Puma bad quality,241,191,47
143,Nike,student,Nike poor experience,91,32,96
144,Adidas,athlete,Adidas nothing special,429,105,110
145,Adidas,athlete,Adidas poor experience,143,22,115
146,Adidas,student,Adidas nothing special,209,18,116
147,Adidas,traveler,Adidas average experience,527,46,136
148,Puma,traveler,Puma okay product,437,182,129
149,Adidas,student,Adidas bad quality,137,37,140
150,Nike,student,Nike great quality,1026,77,56
151,Adidas,athlete,Adidas nothing special,509,100,77
152,Nike,student,Nike amazing product,953,143,124
153,Puma,influencer,Puma love this brand,1000,23,92
154,Adidas,athlete,Adidas love this brand,689,87,121
155,Adidas,athlete,Adidas bad quality,180,21,119
156,Puma,athlete,Puma bad quality,282,10,89
157,Adidas,athlete,Adidas nothing special,266,193,91
158,Adidas,athlete,Adidas amazing product,591,100,7
159,Adidas,influencer,Adidas very comfortable,736,47,134
160,Adidas,student,Adidas nothing special,352,35,56
161,Nike,student,Nike poor experience,262,65,127
162,Adidas,athlete,Adidas nothing special,535,41,74
163,Puma,traveler,Puma not worth it,163,162,119
164,Nike,influencer,Nike average experience,255,45,21
165,Nike,influencer,Nike love this brand,1172,145,89
166,Nike,student,Nike poor experience,64,150,69
167,Nike,traveler,Nike very comfortable,771,137,117
168,Puma,athlete,Puma love this brand,833,48,79
169,Puma,athlete,Puma not worth it,234,34,24
170,Nike,traveler,Nike amazing product,1105,83,79
171,Puma,influencer,Puma very disappointing,192,62,28
172,Adidas,traveler,Adidas poor experience,153,188,112
173,Nike,influencer,Nike very disappointing,209,74,62
174,Adidas,athlete,Adidas okay product,512,97,67
175,Adidas,athlete,Adidas amazing product,668,103,28
176,Adidas,influencer,Adidas very comfortable,950,73,131
177,Nike,student,Nike bad quality,89,77,5
178,Puma,student,Puma average experience,415,172,120
179,Nike,student,Nike love this brand,932,109,86
180,Adidas,influencer,Adidas okay product,441,150,110
181,Adidas,student,Adidas nothing special,504,58,19
182,Puma,student,Puma great quality,1019,45,99
183,Nike,traveler,Nike not worth it,165,76,111
184,Puma,student,Puma average experience,571,43,6
185,Nike,traveler,Nike amazing product,681,137,83
186,Puma,influencer,Puma bad quality,92,182,82
187,Adidas,influencer,Adidas average experience,210,49,36
188,Nike,athlete,Nike okay product,564,65,5
189,Adidas,traveler,Adidas very disappointing,214,30,59
190,Nike,traveler,Nike poor experience,288,192,142
191,Puma,influencer,Puma bad quality,232,186,83
192,Nike,traveler,Nike great quality,1088,64,28
193,Nike,influencer,Nike great quality,653,171,147
194,Adidas,influencer,Adidas amazing product,1005,124,143
195,Adidas,athlete,Adidas not worth it,106,195,108
196,Adidas,influencer,Adidas very comfortable,937,139,118
197,Nike,influencer,Nike love this brand,726,34,62
198,Nike,traveler,Nike amazing product,680,176,35
199,Puma,athlete,Puma okay product,536,124,118
200,Puma,influencer,Puma love this brand,563,86,61
201,Puma,student,Puma okay product,386,37,146
202,Adidas,traveler,Adidas not worth it,155,56,54
203,Adidas,athlete,Adidas very disappointing,260,29,45
204,Adidas,athlete,Adidas amazing product,903,193,116
205,Puma,athlete,Puma nothing special,467,184,56
206,Puma,student,Puma nothing special,349,27,65
207,Puma,influencer,Puma amazing product,1173,126,87
208,Nike,influencer,Nike great quality,890,81,105
209,Adidas,traveler,Adidas great quality,894,125,52
210,Nike,influencer,Nike great quality,528,22,75
211,Adidas,traveler,Adidas bad quality,285,37,68
212,Adidas,athlete,Adidas bad quality,157,155,72
213,Nike,influencer,Nike nothing special,316,11,40
214,Puma,student,Puma average experience,524,187,6
215,Nike,athlete,Nike love this brand,673,194,49
216,Puma,student,Puma very disappointing,221,121,131
217,Puma,student,Puma okay product,517,123,120
218,Adidas,student,Adidas very comfortable,980,111,83
219,Nike,athlete,Nike love this brand,1051,26,48
220,Nike,athlete,Nike very comfortable,915,142,46
221,Nike,student,Nike very disappointing,260,153,52
222,Puma,student,Puma love this brand,772,109,21
223,Puma,traveler,Puma average experience,372,192,27
224,Puma,athlete,Puma nothing special,204,166,102
225,Nike,traveler,Nike great quality,921,61,44
226,Puma,athlete,Puma amazing product,552,155,93
227,Puma,athlete,Puma okay product,353,16,145
228,Puma,athlete,Puma great quality,508,148,75
229,Puma,athlete,Puma love this brand,738,96,109
230,Puma,influencer,Puma not worth it,238,139,99
231,Puma,influencer,Puma great quality,1126,146,129
232,Puma,student,Puma nothing special,229,147,5
233,Puma,traveler,Puma love this brand,658,112,143
234,Nike,influencer,Nike okay product,373,135,31
235,Nike,student,Nike not worth it,73,180,64
236,Nike,athlete,Nike bad quality,229,19,6
237,Nike,traveler,Nike okay product,278,140,47
238,Puma,traveler,Puma not worth it,148,43,25
239,Puma,student,Puma okay product,583,162,43
240,Adidas,student,Adidas not worth it,196,63,121
241,Nike,traveler,Nike very comfortable,928,153,74
242,Adidas,influencer,Adidas great quality,1148,153,109
243,Nike,influencer,Nike okay product,270,116,129
244,Adidas,traveler,Adidas amazing product,1193,110,57
245,Nike,traveler,Nike great quality,871,162,109
246,Adidas,traveler,Adidas amazing product,557,150,50
247,Nike,athlete,Nike okay product,450,121,124
248,Nike,student,Nike amazing product,508,96,142
249,Nike,traveler,Nike bad quality,159,23,148
250,Puma,influencer,Puma love this brand,602,42,109
251,Adidas,traveler,Adidas great quality,684,143,49
252,Adidas,influencer,Adidas poor experience,91,76,139
253,Nike,athlete,Nike poor experience,147,23,148
254,Puma,influencer,Puma amazing product,523,115,115
255,Nike,traveler,Nike very comfortable,541,57,28
256,Adidas,traveler,Adidas love this brand,1017,52,100
257,Nike,athlete,Nike okay product,355,129,149
258,Puma,traveler,Puma very disappointing,209,14,88
259,Puma,athlete,Puma okay product,256,34,110
260,Puma,athlete,Puma okay product,267,145,49
261,Nike,traveler,Nike average experience,521,96,24
262,Puma,student,Puma poor experience,215,116,106
263,Adidas,traveler,Adidas bad quality,84,71,45
264,Nike,student,Nike not worth it,270,34,102
265,Nike,athlete,Nike very comfortable,648,10,130
266,Nike,influencer,Nike not worth it,173,82,147
267,Puma,influencer,Puma nothing special,208,157,69
268,Adidas,student,Adidas bad quality,232,122,18
269,Adidas,influencer,Adidas great quality,1161,44,103
270,Nike,student,Nike bad quality,69,85,127
271,Nike,student,Nike love this brand,899,104,146
272,Puma,traveler,Puma average experience,595,105,32
273,Nike,student,Nike bad quality,173,180,129
274,Adidas,student,Adidas okay product,472,139,86
275,Puma,athlete,Puma not worth it,113,109,44
276,Puma,student,Puma very comfortable,968,176,129
277,Puma,athlete,Puma poor experience,119,90,94
278,Adidas,influencer,Adidas bad quality,84,111,88
279,Puma,influencer,Puma amazing product,1191,43,103
280,Puma,student,Puma great quality,948,187,38
281,Adidas,traveler,Adidas bad quality,131,132,66
282,Adidas,student,Adidas amazing product,649,98,120
283,Nike,traveler,Nike love this brand,874,131,140
284,Puma,student,Puma very comfortable,995,171,102
285,Nike,traveler,Nike bad quality,135,28,146
286,Nike,influencer,Nike okay product,259,156,78
287,Puma,traveler,Puma bad quality,66,13,53
288,Nike,traveler,Nike amazing product,690,94,35
289,Puma,influencer,Puma okay product,302,27,20
290,Puma,athlete,Puma love this brand,794,57,113
291,Adidas,athlete,Adidas average experience,293,187,24
292,Puma,athlete,Puma great quality,980,57,46
293,Puma,influencer,Puma nothing special,577,30,96
294,Adidas,traveler,Adidas nothing special,379,32,41
295,Puma,athlete,Puma love this brand,1192,145,122
296,Nike,traveler,Nike very disappointing,282,14,106
297,Puma,athlete,Puma poor experience,98,70,24
298,Puma,student,Puma very comfortable,541,195,107
299,Puma,influencer,Puma nothing special,291,197,27
300,Adidas,athlete,Adidas very disappointing,218,60,18
301,Adidas,athlete,Adidas not worth it,52,183,58
302,Adidas,athlete,Adidas okay product,387,138,49
303,Adidas,influencer,Adidas poor experience,188,189,143
304,Puma,influencer,Puma poor experience,214,23,72
305,Puma,student,Puma very comfortable,1016,150,45
306,Adidas,student,Adidas nothing special,201,19,47
307,Puma,athlete,Puma very disappointing,176,15,144
308,Puma,influencer,Puma nothing special,474,68,35
309,Adidas,influencer,Adidas love this brand,947,38,137
310,Adidas,athlete,Adidas poor experience,83,123,24
311,Puma,student,Puma not worth it,125,40,141
312,Puma,influencer,Puma very disappointing,121,133,13
313,Puma,student,Puma not worth it,94,168,57
314,Adidas,student,Adidas poor experience,276,28,63
315,Adidas,traveler,Adidas okay product,354,46,124
316,Adidas,influencer,Adidas very disappointing,116,59,53
317,Puma,traveler,Puma not worth it,253,54,132
318,Adidas,influencer,Adidas bad quality,218,138,108
319,Puma,traveler,Puma great quality,853,54,132
320,Adidas,influencer,Adidas okay product,553,27,144
321,Puma,traveler,Puma not worth it,91,115,57
322,Puma,athlete,Puma average experience,422,143,32
323,Nike,influencer,Nike average experience,284,177,118
324,Adidas,traveler,Adidas average experience,496,60,7
325,Puma,traveler,Puma nothing special,208,65,17
326,Adidas,traveler,Adidas average experience,375,163,39
327,Adidas,athlete,Adidas nothing special,545,128,97
328,Puma,traveler,Puma nothing special,254,25,145
329,Nike,traveler,Nike very comfortable,564,36,57
330,Adidas,student,Adidas okay product,324,155,78
331,Puma,influencer,Puma nothing special,543,197,37
332,Adidas,traveler,Adidas bad quality,200,122,97
333,Nike,traveler,Nike very comfortable,855,10,44
334,Nike,traveler,Nike okay product,274,72,32
335,Adidas,influencer,Adidas very comfortable,982,188,14
336,Adidas,influencer,Adidas love this brand,1151,25,101
337,Puma,student,Puma poor experience,62,192,87
338,Nike,traveler,Nike very disappointing,118,44,50
339,Adidas,traveler,Adidas nothing special,312,132,66
340,Adidas,athlete,Adidas great quality,837,43,27
341,Puma,athlete,Puma very comfortable,628,49,24
342,Adidas,influencer,Adidas bad quality,208,116,130
343,Puma,athlete,Puma not worth it,268,105,102
344,Adidas,student,Adidas very comfortable,643,23,21
345,Nike,traveler,Nike poor experience,260,36,108
346,Adidas,influencer,Adidas very disappointing,250,118,117
347,Puma,student,Puma not worth it,210,43,149
348,Adidas,influencer,Adidas very disappointing,161,93,19
349,Adidas,influencer,Adidas very comfortable,529,61,17
350,Adidas,athlete,Adidas bad quality,112,187,16
351,Puma,student,Puma poor experience,185,171,37
352,Adidas,influencer,Adidas very comfortable,581,159,5
353,Adidas,traveler,Adidas nothing special,404,60,41
354,Adidas,athlete,Adidas not worth it,170,63,130
355,Adidas,traveler,Adidas average experience,263,105,148
356,Puma,student,Puma very disappointing,164,119,95
357,Adidas,influencer,Adidas okay product,259,36,110
358,Nike,traveler,Nike great quality,927,147,129
359,Nike,influencer,Nike amazing product,587,103,23
360,Puma,traveler,Puma great quality,1196,45,116
361,Adidas,influencer,Adidas amazing product,947,123,24
362,Nike,influencer,Nike nothing special,296,116,118
363,Puma,student,Puma great quality,525,82,118
364,Adidas,influencer,Adidas great quality,1188,159,58
365,Adidas,student,Adidas average experience,586,122,89
366,Adidas,student,Adidas bad quality,147,52,70
367,Nike,athlete,Nike poor experience,253,62,104
368,Adidas,influencer,Adidas love this brand,913,142,6
369,Adidas,influencer,Adidas very comfortable,630,63,132
370,Nike,traveler,Nike average experience,303,114,38
371,Nike,student,Nike very comfortable,1179,116,60
372,Puma,traveler,Puma very disappointing,80,199,93
373,Nike,student,Nike great quality,757,185,68
374,Puma,influencer,Puma nothing special,573,33,95
375,Nike,student,Nike amazing product,1069,67,10
376,Adidas,traveler,Adidas very disappointing,122,142,110
377,Adidas,athlete,Adidas amazing product,502,81,150
378,Nike,student,Nike very disappointing,194,155,31
379,Puma,student,Puma not worth it,157,66,102
380,Puma,athlete,Puma love this brand,1081,182,67
381,Adidas,traveler,Adidas amazing product,616,139,109
382,Puma,student,Puma nothing special,436,27,110
383,Puma,influencer,Puma okay product,335,11,130
384,Adidas,athlete,Adidas nothing special,269,187,68
385,Nike,athlete,Nike great quality,1160,82,108
386,Puma,influencer,Puma average experience,511,114,144
387,Puma,influencer,Puma nothing special,400,22,30
388,Nike,athlete,Nike nothing special,464,149,117
389,Nike,influencer,Nike very comfortable,542,157,85
390,Adidas,influencer,Adidas okay product,505,26,103
391,Adidas,athlete,Adidas not worth it,217,190,48
392,Nike,athlete,Nike poor experience,207,39,122
393,Adidas,traveler,Adidas okay product,313,68,80
394,Adidas,traveler,Adidas very comfortable,678,176,140
395,Adidas,student,Adidas poor experience,64,147,11
396,Adidas,student,Adidas nothing special,579,70,32
397,Puma,athlete,Puma great quality,1127,159,103
398,Puma,student,Puma bad quality,194,85,68
399,Adidas,influencer,Adidas great quality,742,192,100
400,Adidas,athlete,Adidas amazing product,801,175,97
401,Puma,athlete,Puma poor experience,211,107,54
402,Puma,athlete,Puma very comfortable,1055,124,45
403,Adidas,athlete,Adidas very disappointing,93,53,148
404,Adidas,traveler,Adidas very comfortable,990,153,109
405,Puma,student,Puma great quality,1177,175,148
406,Puma,athlete,Puma bad quality,289,55,87
407,Puma,traveler,Puma very comfortable,672,186,144
408,Puma,influencer,Puma okay product,475,81,145
409,Nike,athlete,Nike poor experience,243,134,12
410,Nike,student,Nike very disappointing,134,93,65
411,Puma,student,Puma amazing product,1160,158,71
412,Puma,traveler,Puma amazing product,750,90,86
413,Nike,traveler,Nike nothing special,327,131,47
414,Nike,athlete,Nike very disappointing,82,81,40
415,Adidas,traveler,Adidas very comfortable,899,21,49
416,Puma,traveler,Puma bad quality,126,64,81
417,Nike,athlete,Nike bad quality,295,10,52
418,Adidas,influencer,Adidas poor experience,250,16,113
419,Puma,athlete,Puma amazing product,1184,98,121
420,Nike,influencer,Nike okay product,492,126,27
421,Adidas,traveler,Adidas average experience,323,118,120
422,Nike,student,Nike okay product,554,39,72
423,Puma,influencer,Puma great quality,853,180,141
424,Nike,student,Nike very disappointing,121,115,137
425,Puma,student,Puma okay product,313,66,12
426,Adidas,athlete,Adidas great quality,1197,75,80
427,Adidas,influencer,Adidas very comfortable,653,13,28
428,Puma,athlete,Puma great quality,958,140,41
429,Nike,student,Nike amazing product,718,178,14
430,Adidas,traveler,Adidas very disappointing,188,80,138
431,Adidas,student,Adidas very disappointing,119,30,125
432,Adidas,influencer,Adidas nothing special,374,198,54
433,Nike,athlete,Nike not worth it,160,199,131
434,Adidas,traveler,Adidas very disappointing,277,109,110
435,Adidas,athlete,Adidas amazing product,1176,45,56
436,Nike,student,Nike love this brand,615,165,84
437,Nike,influencer,Nike amazing product,783,181,65
438,Adidas,traveler,Adidas okay product,531,21,107
439,Adidas,traveler,Adidas average experience,352,98,75
440,Adidas,influencer,Adidas very comfortable,1132,37,116
441,Nike,student,Nike very disappointing,248,77,21
442,Adidas,influencer,Adidas poor experience,82,136,90
443,Puma,traveler,Puma okay product,541,110,84
444,Nike,traveler,Nike very comfortable,836,12,28
445,Puma,influencer,Puma average experience,391,180,48
446,Puma,student,Puma very disappointing,213,145,47
447,Puma,athlete,Puma not worth it,58,90,11
448,Adidas,influencer,Adidas average experience,490,115,28
449,Puma,traveler,Puma very comfortable,931,194,18
450,Nike,influencer,Nike poor experience,170,136,47
451,Adidas,student,Adidas very disappointing,251,14,19
452,Adidas,traveler,Adidas average experience,306,114,93
453,Puma,athlete,Puma love this brand,681,142,55
454,Puma,athlete,Puma nothing special,204,186,133
455,Nike,athlete,Nike very disappointing,286,55,66
456,Puma,influencer,Puma okay product,317,42,10
457,Puma,traveler,Puma love this brand,836,11,141
458,Puma,traveler,Puma very disappointing,300,152,24
459,Nike,student,Nike great quality,590,160,130
460,Nike,athlete,Nike great quality,685,77,130
461,Puma,student,Puma bad quality,237,101,30
462,Adidas,athlete,Adidas nothing special,559,43,47
463,Nike,traveler,Nike not worth it,91,174,56
464,Nike,athlete,Nike average experience,375,128,31
465,Adidas,athlete,Adidas bad quality,294,68,43
466,Adidas,traveler,Adidas love this brand,1082,145,139
467,Nike,influencer,Nike not worth it,270,94,90
468,Adidas,influencer,Adidas very disappointing,196,107,19
469,Puma,influencer,Puma average experience,243,16,30
470,Nike,traveler,Nike average experience,413,34,126
471,Adidas,athlete,Adidas okay product,329,147,105
472,Adidas,student,Adidas not worth it,213,95,29
473,Nike,traveler,Nike poor experience,84,119,138
474,Adidas,influencer,Adidas very comfortable,731,38,54
475,Adidas,student,Adidas love this brand,1169,174,17
476,Puma,athlete,Puma average experience,377,70,145
477,Adidas,traveler,Adidas very comfortable,888,75,122
478,Nike,traveler,Nike not worth it,56,78,87
479,Nike,influencer,Nike amazing product,1030,142,38
480,Nike,student,Nike poor experience,235,55,46
481,Puma,traveler,Puma not worth it,289,108,44
482,Adidas,athlete,Adidas not worth it,162,50,143
483,Adidas,student,Adidas great quality,1124,56,18
484,Adidas,traveler,Adidas love this brand,1015,157,96
485,Puma,influencer,Puma nothing special,215,67,55
486,Puma,influencer,Puma bad quality,255,175,21
487,Adidas,athlete,Adidas poor experience,286,134,20
488,Adidas,influencer,Adidas amazing product,1182,108,73
489,Adidas,traveler,Adidas nothing special,472,120,23
490,Adidas,student,Adidas bad quality,72,177,89
491,Adidas,athlete,Adidas love this brand,562,162,76
492,Adidas,athlete,Adidas great quality,1178,152,21
493,Puma,influencer,Puma great quality,1034,82,41
494,Puma,athlete,Puma great quality,1131,63,99
495,Nike,student,Nike nothing special,369,13,105
496,Adidas,influencer,Adidas poor experience,147,105,22
497,Nike,athlete,Nike amazing product,659,151,80
498,Adidas,athlete,Adidas poor experience,54,113,25
499,Puma,influencer,Puma poor experience,215,97,22
500,Adidas,influencer,Adidas very disappointing,67,139,41
501,Puma,traveler,Puma love this brand,815,173,144
502,Adidas,influencer,Adidas average experience,475,119,61
503,Adidas,athlete,Adidas nothing special,283,96,98
504,Adidas,student,Adidas average experience,267,153,106
505,Adidas,athlete,Adidas average experience,531,129,120
506,Nike,athlete,Nike amazing product,899,55,15
507,Adidas,traveler,Adidas great quality,601,163,68
508,Puma,influencer,Puma bad quality,112,21,46
509,Adidas,traveler,Adidas not worth it,299,35,22
510,Adidas,influencer,Adidas average experience,358,161,40
511,Puma,influencer,Puma great quality,775,69,112
512,Puma,student,Puma very comfortable,941,15,100
513,Adidas,influencer,Adidas average experience,403,45,96
514,Puma,influencer,Puma great quality,661,28,55
515,Puma,traveler,Puma great quality,985,65,21
516,Puma,influencer,Puma great quality,932,194,119
517,Nike,influencer,Nike okay product,246,126,100
518,Nike,athlete,Nike nothing special,262,87,100
519,Adidas,influencer,Adidas love this brand,840,118,110
520,Adidas,traveler,Adidas very comfortable,1056,72,59
521,Puma,student,Puma very disappointing,209,48,134
522,Puma,athlete,Puma great quality,619,24,13
523,Adidas,traveler,Adidas very comfortable,535,162,44
524,Nike,student,Nike average experience,345,166,142
525,Adidas,influencer,Adidas nothing special,369,34,26
526,Nike,athlete,Nike poor experience,143,100,65
527,Adidas,traveler,Adidas amazing product,1140,178,22
528,Puma,traveler,Puma very disappointing,250,139,117
529,Puma,student,Puma not worth it,120,148,5
530,Nike,student,Nike bad quality,279,25,47
531,Nike,athlete,Nike very comfortable,1099,175,39
532,Adidas,athlete,Adidas love this brand,853,17,31
533,Adidas,influencer,Adidas amazing product,687,38,17
534,Nike,athlete,Nike average experience,598,149,72
535,Nike,student,Nike love this brand,917,163,52
536,Nike,influencer,Nike not worth it,85,107,83
537,Adidas,traveler,Adidas very comfortable,787,184,109
538,Adidas,influencer,Adidas nothing special,523,54,117
539,Adidas,athlete,Adidas nothing special,299,151,42
540,Adidas,influencer,Adidas average experience,250,164,64
541,Puma,influencer,Puma nothing special,478,157,80
542,Adidas,traveler,Adidas poor experience,287,168,92
543,Adidas,student,Adidas great quality,702,190,45
544,Puma,athlete,Puma great quality,523,18,10
545,Puma,athlete,Puma nothing special,260,40,76
546,Nike,athlete,Nike love this brand,844,34,17
547,Adidas,student,Adidas great quality,1166,192,93
548,Nike,athlete,Nike not worth it,62,192,95
549,Adidas,traveler,Adidas not worth it,297,40,97
550,Adidas,student,Adidas very comfortable,1193,112,50
551,Nike,influencer,Nike amazing product,562,179,80
552,Puma,influencer,Puma great quality,666,159,79
553,Adidas,traveler,Adidas nothing special,468,57,7
554,Puma,influencer,Puma nothing special,469,160,150
555,Nike,athlete,Nike very comfortable,762,95,118
556,Adidas,influencer,Adidas nothing special,470,86,92
557,Adidas,athlete,Adidas not worth it,252,69,110
558,Nike,athlete,Nike nothing special,357,152,111
559,Puma,athlete,Puma great quality,522,158,20
560,Nike,athlete,Nike amazing product,1024,34,30
561,Nike,athlete,Nike great quality,1121,89,143
562,Adidas,athlete,Adidas poor experience,234,139,33
563,Puma,traveler,Puma poor experience,67,76,133
564,Nike,traveler,Nike amazing product,929,188,13
565,Adidas,athlete,Adidas not worth it,147,192,144
566,Puma,student,Puma poor experience,58,60,32
567,Nike,athlete,Nike very disappointing,161,17,90
568,Adidas,student,Adidas great quality,852,146,66
569,Puma,influencer,Puma great quality,957,140,6
570,Puma,influencer,Puma very disappointing,196,17,104
571,Nike,athlete,Nike very disappointing,159,71,142
572,Adidas,traveler,Adidas great quality,661,164,111
573,Nike,athlete,Nike very disappointing,223,113,17
